ID,NAME,BARCODE,SALE_PRICE,PURCHASE_PRICE
1,AL HABIB Rusk 400g,3002,135,133.0
2,Ruby Nimko,8910666011055,5,4.5
3,AL HABIB Rusk 200g,3001,75,73.0
4,King Kulfa IceCream,8961014015539,240,216.0
5,Mini Cornetto Classico IceCream,8961014014174,35,31.5
6,Jet Sport IceCream,8961014050035,15,13.5
7,Moo IceCream,8961014051155,20,18.0
8,Mango Crush IceCream,8964000146217,10,9.0
9,mini Cup Vanilla IceCream,8961014050547,20,18.0
10,Orange Blast IceCream,8961014016635,10,9.0
11,Mini Kulfi Omore IceCream,8964000146033,10,9.0
12,Strawberry Creamy Delight IceCream,8961014017090,100,90.0
13,Mango Creamy Delight IceCream,8961014009149,100,90.0
14,King Kulfa big slice IceCream,8961014004595,35,31.5
15,Paddle Pop Bubble Gum,8961014017779,10,9.0
16,Paddle Pop Patakha,8961014008692,30,27.0
17,Paddle Pop Jet Sport,8961014017748,20,18.0
18,Feast,8961014017571,50,45.0
19,King Kulfa big slice IceCream,8961014004595,40,36.0
20,mini Cup Vanilla IceCream,8961014050547,20,18.0
21,Cup Mango,8961014050530,55,49.5
22,Choc Bar,8961014018486,25,22.5
23,Cornetto Flirty Berry,8961014014198,65,58.5
24,Half Bar Vanilla 375ml,8961014017076,100,90.0
25,Half Bar King K 375ml,8961014017922,145,130.5
26,Half Bar Chounsa Mango 375ml,8961014009149,140,126.0
27,Donut,8961014017564,50,45.0
28,Bar King K 800ml,8961014017908,255,229.5
29,Bar Strawberry 800ml,8961014008357,225,202.5
30,Bar Vanilla 800ml,8961014065565,225,202.5
31,Pepsi 1.5ltr,12000800085,90,81.0
32,Pepsi 1ltr,12000002946,70,63.0
33,7up 1ltr,896400101377,70,63.0
34,CocaCola 1ltr,5449000054227,80,72.0
35,CocaCola CAN 250ml,5449000008046,50,45.0
36,Bigg Apple 1ltr,1860074054519,60,54.0
37,Bigg Apple 1.5ltr,894559000280,80,72.0
38,Water Nestle 1.5ltr,8961008212289,60,54.0
39,Sprite CAN 250ml,5449000000729,50,45.0
40,DEW 1ltr,8964000101100,70,63.0
41,Water AS 1.5ltr,923229990070,50,45.0
42,7up 1.5ltr,12000800337,90,81.0
43,Fanta 1ltr,5449000006271,80,72.0
44,Sting 500ml ,8964000101704,65,58.5
45,Water AS 500ml,923228880070,30,27.0
